text,label
mahmood ghaznavi aor abdali ko bhol gaya ha tu  hazar saal tjhy ghulam bana kr rkha tha bhol gaya tu,OAG
bhai sal pehle desh me kya tha pehle pta kro desh waise ka waise kaise hai,CAG
chutiya friday ko isliye releae krte kyoki week end ke  din milte h to log free hokr film dekh sake  hd h yrr chutiyapa ki,CAG
jai modiraj,CAG
upa walo ne bahot kuch kr diya tha desh k liye,CAG
pan ko aadhar se link ki zarurat kuy hai supreme court ne ye bola hi nahi,CAG
kaakar pathar jod ke masjid lai banaay ta chadhi mullah baangh de  kya baharaa hua khudaay yah main nahin kabir ne kaha tha,OAG
us raat tere papa k jageh mera sperm gya tha use of technology aur tere papa ko pta v na chala chutiya,OAG
gater ke keede,OAG
waise bandhu jet lag se bachne ke liye raat ko  baje ke baad so jao,NAG
get your love back  and allproblemssolutionwithinhours one call change life samasya chaahe kisi bhi ho jad se khatm badi se badi samasya kaa samaadhaan apane man chaahe pyaar ko paanaa kaam kaarobaar kiya karaayaa sotan se chhutkaaraa pati  patni main anban ,NAG
vidisha se bijepi kii sushamaa swaraj aage,NAG
bhaii tume lagta bjp ne kia h ye to fir aao politics me sudharo society ,CAG
es kutte ko jail me daal do desh drohi hai,OAG
siinaajori,OAG
haan sahi kaha jab pm ko jutey padh saktey wo bhi  inch ko to congress neta kis kheht ki muli hai,CAG
arwin khwabon se bahar niklo aur dekho kashmir india ka tha h aur rhega and vase bhi kashmir m hum kaafiron k bahut sare religious places h jo uski beauty ko chaar chand lgate h tum terrorist ka toh sirf terrorism h jo uski beauty ko brbaad kr rha h tum log jisko jo kuch kehte ho usse janane m hume koi interest nhi h isliye faltu m bako mt k hum isko ye kehte h hum usko woh kehte h vagarah vagarah,CAG
shri shri jinke liye puri sarkaar ne dilli me yamuna bhi barabaad hone di sari suvidha di unase milane se deshvirodh kaa kya matlab beshak koi or miltaa to use tamgaa or pakistan kaa nivas milte,OAG
modi ji ab aisa bhi kanun kar sakate heki garib or aam janata vot hi naa kare or vot karnaa he to modi ko hi karenahi to aam logoko kaan pakadnaco kah sakate he rashan bhi band kar sakate heab sab satta akele hi haathame he aam log kahi naa kahi pareshaan hone chahiebhramishtha hone chahiesochanekeliye dimag hi band hona chahie esa hi kanun bana sakate he janata jaae bhadme aisi hi soch he modiji kiibas baaki kuch nahi,OAG
jubaan di thi to jubaan kii keemat nibhaai sar munda ke ye to mere liye garv kii baat he,NAG
is gadhe ke gand main itna bambu dalo sala marhi jaye,OAG
karat has apn bhahin la experience hai bikul sahi send kar de hafiz la,OAG
ravish jii aap ke kasbe mein sirf congressi rahte hai,CAG
bole tw zeada kon log h india m deobndi or brelvi,NAG
iskee ma ki choot dalle ki bahan ka loda gandua sala madarchod kutte ka beej,OAG
to ab kan khol ki sun lo congresiyo   ka sena modi ji to bahut jald hi dekhane wala hai par tum congresiyo antakiyo ki marna par rona or inko bachane ki liya rat ko supreme court jana sarjikal staik ka sabut mangna or antkiyo ki liya khulla supportr ban na or manisankar  degvijay or nirupam jaisa antaki supportro ka gala kab dabne ja raha ho pahala yeh desh ko batao ,OAG
cingress me sab chaplus hai,OAG
yahn pakistan m babri masjid ko shaeed ni kya jata,CAG
ammi jaan ko bhej porki unko khushi ka hissa bna lenge,OAG
hahahah bewkoof india mei ghus k maara aur wo bhi chupke haha aur kashmir p already india ka kabja a mere stupid bhaia,OAG
jab iska do ki allaah tallah ke fazal se pakistani jail main sazaa kaat rahe aatanki jackiurrahamaanlakhvi kii patni pet se he uf allaah bada halaalu he,OAG
gold mila hota baki indians sab khane ke liye marte,CAG
o cow k peshan piny vali qom aram sy,OAG
aby india walo tum logo ko sharam bhi nahi aati jhot bolte howy bhi,CAG
sonia or pappu ke talave chaat chaat kar maansik santulan kho baithe he yah dugadugi miyaan  ek pagale ke pralaap se adhik kuch nahin he is ke bayaan ,OAG
barbadegulistan karne ko ek hi ullu kafi tha ab haalegulistan kya hoga har shaq par ullu baitha haiin jaise logon ki wajh se hi aaj hmari yh halat h,OAG
karo dua ki phir se na kahi bhi koi kasab paida ho mao ki kokh se bus bhagat karkare salaskar se aftab paida ho ,NAG
chl be fake account jyada na bol himmat hi ni h ja na apne page me baar  pta ehi hu pakistan k page ja ni h na to bna le tra desh kya ho rha h bhut acche se pta nikl lo and wit and watch india ku t krega zarur fir puchenge,OAG
sir aap ko salute nehi ton apki vi halat kwjribal jeise hote,CAG
bhi k worldpowerful country jesa koi word ni hota tum pakistaniyon ko ek hi phrase aata h bolna our boys played well  iske baad fatt jaati h tum logon ki saale pura india hi aa gya naa je uth k bomb aur missile ki bi jrurat bi ni pdegi thappad maar maar k hi  hooron k paas bhej denge tumharko smjha chhake ,OAG
yar tho tum muslim kon sa indea ka sat detha hai tum mullo ko tho bhut khuse hotha hai,CAG
bas time aa gaya hay sir,CAG
es chutiye ke liye bhi  shabd kah do bhala hoga tumhara,OAG
rashtriya party kaa simatata kshetra,CAG
hahahahahhaha hundustaniyo ye tum lugo k nasil k kuttay nhi hai ye kashmir ka vedio nhi hai tum endian apni gand dholo dal nikli hugey tumhari,OAG
pr kbbb tren yatriyo ke liye to ticket ek yuddhya ho gya hai,CAG
sirf  varsh tak bharat ko lagaataar sijafire kaa aulanghan karnaa chaiye bina ruke tabadatod golia maurtar shell fire karne chaiye yahi paak kaa ilaaj he,CAG
